,N_agents,l,Run,n,k,worst_agent,average_agent,top_agent,run_id,team_type,Cdiversity,NPdiversity,solution,team
36,10,12,2000,2000,3,82.57822200948478,84.0992077473566,85.39203527374598,1065,best,0.5,0.7703703703703704,89.03947044917926,85.32851070446628
37,10,12,2000,2000,3,82.57822200948478,84.0992077473566,85.39203527374598,1065,random,1.0,0.9111111111111111,85.26806641306686,84.24481211925794
38,10,12,2000,2000,3,82.58172687069877,84.19390125879312,85.19098454039352,1271,best,0.75,0.8666666666666667,94.76845456765336,85.13159118020639
39,10,12,2000,2000,3,82.58172687069877,84.19390125879312,85.19098454039352,1271,random,0.9166666666666666,0.8666666666666667,88.81617840890023,84.12415744995302
40,10,12,2000,2000,3,82.58540722356038,84.12269763644547,85.22139765984294,1252,best,0.4166666666666667,0.7999999999999999,96.63533517717785,85.05772426889067
41,10,12,2000,2000,3,82.58540722356038,84.12269763644547,85.22139765984294,1252,random,0.8333333333333334,0.8814814814814814,92.82634085220297,84.07324662863248
42,10,12,2000,2000,3,82.60034511922008,84.06955763820558,85.21408382103692,1025,best,0.6666666666666666,0.8888888888888888,93.41119593653433,85.08649852313849
43,10,12,2000,2000,3,82.60034511922008,84.06955763820558,85.21408382103692,1025,random,1.0,0.9333333333333333,97.91537033892725,83.97410559314028
44,10,12,2000,2000,3,82.60204716621723,83.94589333399355,85.48574251715513,1241,best,0.5833333333333334,0.8592592592592593,73.44680966559145,85.25960639093941
45,10,12,2000,2000,3,82.60204716621723,83.94589333399355,85.48574251715513,1241,random,0.9166666666666666,0.9407407407407408,89.54179036383276,83.88296016525602
46,10,12,2000,2000,3,82.60992309262511,83.99054328616826,85.26838848171356,1280,best,0.5833333333333334,0.8592592592592593,88.76338618542208,85.13158982363447
47,10,12,2000,2000,3,82.60992309262511,83.99054328616826,85.26838848171356,1280,random,1.0,0.9185185185185185,93.6404279930692,84.24733287947363
48,10,12,2000,2000,3,82.62570140776761,84.05787357624723,85.1240792444333,1443,best,0.6666666666666666,0.8592592592592593,96.69505577780726,85.07015429791718
49,10,12,2000,2000,3,82.62570140776761,84.05787357624723,85.1240792444333,1443,random,1.0,0.9333333333333333,99.72580969140562,84.14965059034475
50,10,12,2000,2000,3,82.63326239023658,84.28621672468681,85.80470922251679,1206,best,0.3333333333333333,0.7925925925925926,94.87896988208774,85.62321112270803
51,10,12,2000,2000,3,82.63326239023658,84.28621672468681,85.80470922251679,1206,random,1.0,0.9333333333333333,96.57990495133457,84.52111064410099
52,10,12,2000,2000,3,82.67082216814339,83.871931574468,84.95298368885045,1160,best,0.4166666666666667,0.7925925925925926,95.93331623838286,84.84528940246685
53,10,12,2000,2000,3,82.67082216814339,83.871931574468,84.95298368885045,1160,random,0.8333333333333334,0.9037037037037037,98.16840264393198,83.92278651435537
54,10,12,2000,2000,3,82.68044225818649,83.86905094455345,85.25367507267988,1430,best,0.4166666666666667,0.8296296296296296,64.84092731727364,85.05345450468039
55,10,12,2000,2000,3,82.68044225818649,83.86905094455345,85.25367507267988,1430,random,1.0,0.9555555555555556,99.98705059439365,83.93623935182549
56,10,12,2000,2000,3,82.69489394968163,84.36462554952735,85.39457306184435,1453,best,0.5833333333333334,0.8740740740740741,80.9435624240595,85.27387855191421
57,10,12,2000,2000,3,82.69489394968163,84.36462554952735,85.39457306184435,1453,random,1.0,0.9407407407407408,97.19026160212935,84.0459910996466
58,10,12,2000,2000,3,82.69799687851055,84.16048833129892,85.29345815842508,1067,best,0.4166666666666667,0.8222222222222222,98.54980972094786,85.2244992236277
59,10,12,2000,2000,3,82.69799687851055,84.16048833129892,85.29345815842508,1067,random,1.0,0.8888888888888888,92.14379812705225,84.25044004173297
60,10,12,2000,2000,3,82.70155974610871,84.22133728290171,85.56756591672855,1134,best,0.4166666666666667,0.7999999999999999,94.53858416455707,85.4258311779711
61,10,12,2000,2000,3,82.70155974610871,84.22133728290171,85.56756591672855,1134,random,1.0,0.9259259259259259,98.14303013349394,84.17668295875161
62,10,12,2000,2000,3,82.70162701054086,84.438899473856,85.5260742242156,1413,best,0.8333333333333334,0.8592592592592593,87.49513407704909,85.29953221755838
63,10,12,2000,2000,3,82.70162701054086,84.438899473856,85.5260742242156,1413,random,0.9166666666666666,0.9481481481481482,92.95581079983745,84.52288882665998
64,10,12,2000,2000,3,82.70313196880474,84.19334463045348,85.26703241523018,1238,best,0.6666666666666666,0.837037037037037,85.08771839139862,85.15269553045192
65,10,12,2000,2000,3,82.70313196880474,84.19334463045348,85.26703241523018,1238,random,1.0,0.9333333333333333,88.13816969336881,83.96113081302096
66,10,12,2000,2000,3,82.70364821432624,83.94131215617301,84.97338993517407,1491,best,0.8333333333333334,0.8740740740740741,99.21898712121,84.83381878029913
67,10,12,2000,2000,3,82.70364821432624,83.94131215617301,84.97338993517407,1491,random,0.9166666666666666,0.9333333333333333,99.17068443643383,83.80416498441627
